Country;Month;Year;region;New_cases;New_deaths;Cumulative_cases;Cumulative_deaths
Afghanistan;1;2020;South Asia;0;0;0;0
Afghanistan;2;2020;South Asia;5;0;5;0
Afghanistan;3;2020;South Asia;161;4;166;4
Afghanistan;4;2020;South Asia;1661;56;1827;60
Afghanistan;5;2020;South Asia;13353;194;15180;254
Afghanistan;6;2020;South Asia;16265;485;31445;739
Afghanistan;7;2020;South Asia;5183;536;36628;1275
Afghanistan;8;2020;South Asia;1620;131;38248;1406
Afghanistan;9;2020;South Asia;1106;56;39354;1462
Afghanistan;10;2020;South Asia;1980;71;41334;1533
Afghanistan;11;2020;South Asia;4881;230;46215;1763
Afghanistan;12;2020;South Asia;6115;426;52330;2189
Afghanistan;1;2021;South Asia;2693;211;55023;2400
Afghanistan;2;2021;South Asia;691;43;55714;2443
Afghanistan;3;2021;South Asia;740;41;56454;2484
Afghanistan;4;2021;South Asia;3291;141;59745;2625
Afghanistan;5;2021;South Asia;12093;319;71838;2944
Afghanistan;6;2021;South Asia;46821;1927;118659;4871
Afghanistan;7;2021;South Asia;28495;1837;147154;6708
Afghanistan;8;2021;South Asia;6066;410;153220;7118
Afghanistan;9;2021;South Asia;1832;86;155052;7204
Afghanistan;10;2021;South Asia;1036;68;156088;7272
Afghanistan;11;2021;South Asia;1172;36;157260;7308
Afghanistan;12;2021;South Asia;799;48;158059;7356
Afghanistan;1;2022;South Asia;4081;53;162140;7409
Afghanistan;2;2022;South Asia;11255;184;173395;7593
Afghanistan;3;2022;South Asia;4299;72;177694;7665
Afghanistan;4;2022;South Asia;1179;18;178873;7683
Afghanistan;5;2022;South Asia;1390;20;180263;7703
Afghanistan;6;2022;South Asia;2167;19;182430;7722
Afghanistan;7;2022;South Asia;3150;25;185580;7747
Afghanistan;8;2022;South Asia;7670;30;193250;7777
Afghanistan;9;2022;South Asia;5817;22;199067;7799
Afghanistan;10;2022;South Asia;3926;22;202993;7821
Afghanistan;11;2022;South Asia;739;5;203732;7826
Albania;1;2020;Europe & Central Asia;0;0;0;0
Albania;2;2020;Europe & Central Asia;0;0;0;0
Albania;3;2020;Europe & Central Asia;223;11;223;11
Albania;4;2020;Europe & Central Asia;543;19;766;30
Albania;5;2020;Europe & Central Asia;356;3;1122;33
Albania;6;2020;Europe & Central Asia;1344;25;2466;58
